product_code,name,base_unit,active
32023974,PVC PROZIRNA 50/66 MLIN KOŠAK,kom,true
32023983,PVC SMEĐA 50/66 POLONAPOLONA,kom,true
32023985,PP 701 BIJELA 50/66 BGW ELECTRONICS,kom,true
32023992,PP 701 BIJELA 50/66 PRINTAJ.BA,kom,true
32023997,PP 732 BIJELA 50/66 ARANEA TOYS,kom,true
32023998,PP 701 PROZIRNA 50/66 VINA-ERDUT,kom,true
32024000,PP 701 BIJELA 50/66 MB FRIGO,kom,true
32024006,PP 701 BIJELA 50/66 OLIVAL,kom,true
32024007,PP 701 BIJELA 50/66 NEONREKLAM,kom,true
32024009,PP 701 BIJELA TONIRANA 50/66 STARI RIBAR,kom,true
32024024,PP 701 BIJELA 50/66 ROYAL-HILL,kom,true
32024026,PP 735 BIJELA 50/66 AREA MARIS,kom,true
32024027,PP 701 BIJELA TON.NARANČASTA 50/66 STIHL,kom,true
32024029,PP 701 BIJELA 50/66 JAKOPIC,kom,true
32024033,PP 701 BIJELA 75/66 FIRST FIVE LABS,kom,true
32024037,PP 735 BIJELA 50/660 ALBAUGH,kom,true
32024046,PVC BIJELA 50/66 DUOL,kom,true
32024047,PP 701 BIJELA 25/66 AKD,kom,true
32024053,PP 701 BIJELA 50/66 FUGAPLAST,kom,true
32024068,PP 600 BIJELA 50/66 TRAKTOR SERVIS,kom,true
32024071,PP 701 BIJELA 50/66 PRERADA PLASTIKE ŠANTEK,kom,true
32024072,PP 701 BIJELA 50/66 CORTINA DESIGN,kom,true
32024098,PP 701 BIJELA 50/66 JADRAN,kom,true
32024101,PP 732 BIJELA 50/66 DOBRESTVARI.HR,kom,true
32024102,PP 600 BIJELA 50/66 SANTINI,kom,true
32024103,PP 701 BIJELA 50/66 TRGOVINA DIJELOVA,kom,true
32024107,PP 701 BIJELA 50/66 BA-COM TRGOVINA,kom,true
32024112,PP 701 BIJELA 50/66 FARMEX,kom,true
32024114,PP 701 TON.NARANČASTA 50/66 OPLATE ŠITUM,kom,true
32024145,PP 701 BIJELA 50/66 BRAUN,kom,true
32024146,PP 701 BIJELA 50/66 MEDILAB,kom,true
32024149,PP 701 BIJELA 50/66 BOTANICA,kom,true
32024150,PP 701 BIJELA 50/66 CENTAR TEHNIKE,kom,true
